version,hj,gd,gd1,gd2,gd3,ba,bb,wb,hs,yz,xr,fy
hj,1.00000000,0.46748405,0.46909155,0.43823334,0.50472470,0.57308985,0.64766029,0.71192717,0.70768555,0.72126226,0.64212857,0.69668558
gd,0.46748405,1.00000000,0.92891205,0.91627968,0.80010259,0.38589861,0.44628005,0.41188508,0.40651159,0.39112868,0.38779053,0.40429448
gd1,0.46909155,0.92891205,1.00000000,0.00000000,0.47376512,0.38701070,0.44401257,0.39943611,0.39435713,0.39299039,0.34985119,0.38426404
gd2,0.43823334,0.91627968,0.00000000,1.00000000,0.00000000,0.32812722,0.41366324,0.41967766,0.41390565,0.38829785,0.45508658,0.43137034
gd3,0.50472470,0.80010259,0.47376512,0.00000000,1.00000000,0.42508681,0.49766865,0.45538814,0.45399926,0.45884354,0.43102381,0.44055680
ba,0.57308985,0.38589861,0.38701070,0.32812722,0.42508681,1.00000000,0.59380185,0.51081490,0.50671502,0.49050698,0.51637186,0.51056083
bb,0.64766029,0.44628005,0.44401257,0.41366324,0.49766865,0.59380185,1.00000000,0.57360498,0.56695556,0.54439596,0.58019780,0.57129121
wb,0.71192717,0.41188508,0.39943611,0.41967766,0.45538814,0.51081490,0.57360498,1.00000000,0.95651118,0.88904684,0.81401619,0.87628166
hs,0.70768555,0.40651159,0.39435713,0.41390565,0.45399926,0.50671502,0.56695556,0.95651118,1.00000000,0.88645740,0.82042378,0.86808463
yz,0.72126226,0.39112868,0.39299039,0.38829785,0.45884354,0.49050698,0.54439596,0.88904684,0.88645740,1.00000000,0.00000000,0.83649328
xr,0.64212857,0.38779053,0.34985119,0.45508658,0.43102381,0.51637186,0.58019780,0.81401619,0.82042378,0.00000000,1.00000000,0.79766756
fy,0.69668558,0.40429448,0.38426404,0.43137034,0.44055680,0.51056083,0.57129121,0.87628166,0.86808463,0.83649328,0.79766756,1.00000000
