chapter,version_a,version_b,similarity,supporting_sentence_pairs
0,ba,bb,0.54861111,24
0,ba,fy,0.44143519,24
0,ba,hj,0.49918981,24
0,ba,hs,0.42939815,24
0,ba,wb,0.44814815,24
0,ba,yz,0.41643519,24
0,bb,fy,0.74965278,24
0,bb,hj,0.79143519,24
0,bb,hs,0.73761574,24
0,bb,wb,0.75428241,24
0,bb,yz,0.71215278,24
0,fy,hj,0.90566667,25
0,fy,hs,0.97400000,25
0,fy,wb,0.94733333,25
0,fy,yz,0.95766667,25
0,hj,hs,0.88966667,25
0,hj,wb,0.90966667,25
0,hj,yz,0.85000000,25
0,hs,wb,0.97333333,25
0,hs,yz,0.97366667,25
0,wb,yz,0.94700000,25
1,ba,bb,0.69272727,20
1,ba,fy,0.50913781,20
1,ba,hj,0.60075758,20
1,ba,hs,0.53220238,20
1,ba,wb,0.52664683,20
1,ba,yz,0.49697511,20
1,bb,fy,0.57376082,20
1,bb,hj,0.71745491,20
1,bb,hs,0.59124459,20
1,bb,wb,0.60235570,20
1,bb,yz,0.57298701,20
1,fy,hj,0.65424603,20
1,fy,hs,0.83506494,22
1,fy,wb,0.82572150,22
1,fy,yz,0.83523810,20
1,hj,hs,0.68674603,20
1,hj,wb,0.71833333,20
1,hj,yz,0.66543651,20
1,hs,wb,0.93340548,22
1,hs,yz,0.86773810,20
1,wb,yz,0.85468254,20
2,ba,bb,0.41269841,6
2,ba,fy,0.38492063,6
2,ba,gd,0.34325397,6
2,ba,gd1,0.34325397,6
2,ba,hj,0.46825397,6
2,ba,hs,0.38492063,6
2,ba,wb,0.38492063,6
2,ba,yz,0.38492063,6
2,bb,fy,0.62500000,6
2,bb,gd,0.53571429,6
2,bb,gd1,0.53571429,6
2,bb,hj,0.70833333,6
2,bb,hs,0.60119048,6
2,bb,wb,0.60119048,6
2,bb,yz,0.60119048,6
2,fy,gd,0.45238095,6
2,fy,gd1,0.45238095,6
2,fy,hj,0.87500000,6
2,fy,hs,0.97619048,6
2,fy,wb,0.97619048,6
2,fy,yz,0.97619048,6
2,gd,gd1,1.00000000,6
2,gd,hj,0.52182540,6
2,gd,hs,0.42857143,6
2,gd,wb,0.42857143,6
2,gd,yz,0.42857143,6
2,gd1,hj,0.52182540,6
2,gd1,hs,0.42857143,6
2,gd1,wb,0.42857143,6
2,gd1,yz,0.42857143,6
2,hj,hs,0.85119048,6
2,hj,wb,0.85119048,6
2,hj,yz,0.85119048,6
2,hs,wb,1.00000000,6
2,hs,yz,0.95238095,6
2,wb,yz,0.95238095,6
3,ba,bb,0.12500000,2
3,ba,fy,0.12500000,2
3,ba,gd,0.12500000,2
3,ba,gd2,0.12500000,2
3,ba,hj,0.12500000,2
3,ba,hs,0.12500000,2
3,ba,wb,0.12500000,2
3,ba,yz,0.12500000,2
3,bb,fy,0.55753968,24
3,bb,gd,0.50134576,23
3,bb,gd2,0.50134576,23
3,bb,hj,0.80000000,24
3,bb,hs,0.63492063,24
3,bb,wb,0.62450397,24
3,bb,yz,0.62658730,24
3,fy,gd,0.42318841,23
3,fy,gd2,0.42318841,23
3,fy,hj,0.64295635,24
3,fy,hs,0.86458333,24
3,fy,wb,0.86458333,24
3,fy,yz,0.85625000,24
3,gd,gd2,0.91304348,23
3,gd,hj,0.50496894,23
3,gd,hs,0.43768116,23
3,gd,wb,0.43768116,23
3,gd,yz,0.43768116,23
3,gd2,hj,0.50496894,23
3,gd2,hs,0.43768116,23
3,gd2,wb,0.43768116,23
3,gd2,yz,0.43768116,23
3,hj,hs,0.72033730,24
3,hj,wb,0.70992063,24
3,hj,yz,0.71200397,24
3,hs,wb,0.97916667,24
3,hs,yz,0.98125000,24
3,wb,yz,0.98125000,24
4,ba,bb,0.23650794,15
4,ba,fy,0.32984127,15
4,ba,hj,0.40206349,15
4,ba,hs,0.34190476,15
4,ba,wb,0.34190476,15
4,ba,yz,0.35015873,15
4,bb,fy,0.41142857,15
4,bb,hj,0.42428571,15
4,bb,hs,0.42476190,15
4,bb,wb,0.42476190,15
4,bb,yz,0.43142857,15
4,fy,hj,0.71714286,15
4,fy,hs,0.84476190,15
4,fy,wb,0.85809524,15
4,fy,yz,0.81238095,15
4,hj,hs,0.73968254,15
4,hj,wb,0.73968254,15
4,hj,yz,0.70444444,15
4,hs,wb,0.98666667,15
4,hs,yz,0.91365079,15
4,wb,yz,0.90031746,15
5,ba,bb,0.29659864,7
5,ba,fy,0.58401361,7
5,ba,hj,0.67942177,7
5,ba,hs,0.59353741,7
5,ba,wb,0.61734694,7
5,ba,yz,0.61734694,7
5,bb,fy,0.29897959,7
5,bb,hj,0.32278912,7
5,bb,hs,0.26428571,7
5,bb,wb,0.28809524,7
5,bb,yz,0.26428571,7
5,fy,hj,0.84880952,7
5,fy,hs,0.82380952,7
5,fy,wb,0.82380952,7
5,fy,yz,0.84285714,7
5,hj,hs,0.88214286,7
5,hj,wb,0.90595238,7
5,hj,yz,0.90595238,7
5,hs,wb,0.97142857,7
5,hs,yz,0.95238095,7
5,wb,yz,0.95238095,7
6,ba,bb,0.40000000,1
6,ba,fy,0.76785714,8
6,ba,gd,0.40000000,8
6,ba,gd1,0.40000000,8
6,ba,hj,0.68660714,8
6,ba,hs,0.77500000,8
6,ba,wb,0.76785714,8
6,ba,yz,0.79285714,8
6,bb,fy,0.40000000,1
6,bb,gd,0.20000000,1
6,bb,gd1,0.20000000,1
6,bb,hj,0.20000000,1
