rank,version_a,version_b,similarity,distance_1_minus_similarity
1,fy,hs,0.99971116,0.0002888399999999569
2,hs,wb,0.99965185,0.0003481499999999915
3,fy,wb,0.99958026,0.0004197400000000018
4,fy,hj,0.99943918,0.0005608200000000174
5,hj,hs,0.99907553,0.000924469999999955
6,ba,hj,0.99890947,0.001090530000000034
7,hj,wb,0.99878579,0.0012142099999999934
8,bb,fy,0.99876231,0.001237689999999958
9,bb,hj,0.99867809,0.0013219100000000372
10,bb,wb,0.99838364,0.0016163599999999834
11,ba,bb,0.99828333,0.0017166699999999757
12,ba,fy,0.99825758,0.0017424200000000223
13,bb,hs,0.99816936,0.0018306399999999945
14,ba,wb,0.9977209,0.0022790999999999784
15,ba,hs,0.99767488,0.0023251199999999583
16,gd,gd1,0.97808915,0.021910850000000037
17,ba,gd1,0.97271329,0.027286710000000047
18,gd1,hj,0.9703173,0.02968269999999995
19,fy,gd1,0.97030997,0.029690030000000034
20,gd1,wb,0.96967167,0.030328330000000014
21,fy,gd,0.96880084,0.031199160000000004
22,gd,wb,0.96841091,0.031589089999999986
23,bb,gd1,0.96815449,0.03184551000000002
24,gd,hj,0.96771854,0.032281459999999984
25,bb,gd,0.96746063,0.032539369999999956
26,gd1,hs,0.9671703,0.03282969999999996
27,gd,hs,0.96712661,0.03287339
28,ba,gd,0.96656817,0.03343183000000005
29,hs,yz,0.96161991,0.03838008999999998
30,wb,yz,0.96067601,0.039323989999999975
31,fy,yz,0.95872664,0.04127336000000004
32,hj,yz,0.95867878,0.04132122000000005
33,ba,yz,0.95809245,0.041907550000000016
34,bb,yz,0.95646149,0.043538509999999975
35,gd,yz,0.92786783,0.07213217000000005
36,gd1,yz,0.92610657,0.07389343000000004
37,fy,xr,0.90897256,0.09102743999999996
38,bb,xr,0.90772408,0.09227591999999996
39,hj,xr,0.90618771,0.09381229000000002
40,ba,xr,0.90545839,0.09454161000000005
41,wb,xr,0.90545094,0.09454905999999996
42,hs,xr,0.90415251,0.09584749000000004
43,gd1,xr,0.89478183,0.10521817
44,gd,xr,0.88523626,0.11476374
45,gd,gd2,0.82868147,0.17131852999999997
46,gd2,yz,0.7864387,0.21356129999999995
47,gd2,hs,0.78141844,0.21858155999999995
48,gd2,wb,0.78113693,0.21886307000000005
49,bb,gd2,0.77864087,0.22135912999999996
50,fy,gd2,0.77622604,0.22377396000000005
51,gd2,hj,0.77138698,0.22861301999999994
52,ba,gd2,0.76669627,0.23330373000000004
53,xr,yz,0.76103485,0.23896514999999996
54,gd1,gd2,0.72320628,0.27679372
55,gd,gd3,0.65664977,0.34335023
56,gd2,xr,0.64649606,0.35350393999999996
57,gd1,gd3,0.62572515,0.37427485000000005
58,gd3,xr,0.57907295,0.42092704999999997
59,fy,gd3,0.57742137,0.42257862999999996
60,gd3,hs,0.57149255,0.42850745
61,ba,gd3,0.57058638,0.42941362000000005
62,gd3,hj,0.56948465,0.43051534999999996
63,gd3,wb,0.56727171,0.43272829
64,bb,gd3,0.5599128,0.4400872
65,gd3,yz,0.52735013,0.47264987
66,gd2,gd3,0.45169091,0.54830909
