node_id,type,version,chapter,sentence,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127
version_hj,version,hj,,,-0.19882748,0.03545888,0.40947112,-0.27065122,0.29678938,-0.13627207,-0.03634167,0.05953303,-0.56632614,0.10713414,0.10648123,0.01263012,0.10250966,-0.21168567,-0.17313217,0.63046092,-0.02815471,0.44777471,0.03987083,-0.08964451,0.31193584,-0.00291271,-0.46742523,0.10035200,-0.34201744,-0.54269898,0.16872181,-0.30957738,0.12185551,-0.18778537,0.09628933,0.09977889,-0.02165435,0.29777139,0.08070337,-0.23374453,-0.44687459,-0.33265552,0.03705198,-0.15056686,0.46571180,0.30520976,0.62405109,0.22431074,-0.12010116,-0.39301077,0.23374507,-0.03941831,-0.05382910,0.02414450,-0.30596650,-0.06590530,0.08040694,-0.34691593,-0.01237861,0.06327441,0.40713263,0.01931821,0.16499804,-0.21154220,0.06782152,-0.01041907,0.01514932,-0.03589443,0.15603726,0.53491902,0.17430215,-0.09802312,-0.14528798,0.26794419,-0.11837763,0.28977185,0.03942288,0.14551581,0.25496992,0.14351304,0.22039385,-0.15481590,0.01598567,0.16381939,-0.00864030,-0.03495082,0.08814920,-0.13618448,0.41694048,0.01566187,0.20818049,-0.13535739,0.21044439,0.17388585,-0.02892019,-0.50279748,-0.30858412,-0.13076229,-0.25625718,-0.23293205,-0.17521839,0.41844505,0.05043336,0.07024965,-0.50539172,-0.18397650,-0.19059758,0.00583814,-0.02264849,-0.48112828,0.42168814,-0.16731067,-0.11898925,0.38492998,-0.26350772,-0.22590323,0.15232055,-0.22898081,0.43111482,0.20208003,0.16965790,-0.31275690,0.15221427,-0.11719202,0.39613771,-0.32164180,0.34350660,0.25234422,-0.32807726,-0.01582892,-0.30819300,-0.33536923
chapter_hj_0,chapter,hj,0,,0.11629213,-0.00462934,-0.25353959,-0.20994526,-0.04962409,-0.10303117,0.02074430,-0.05538052,0.07325508,0.33190852,0.04584799,-0.09127343,0.16686083,0.18951933,-0.00761411,0.07572069,-0.20352773,0.12780955,-0.15132906,0.12881547,0.09526572,0.18118669,-0.12426227,0.09510504,0.33741018,-0.34283364,-0.00694437,-0.12196799,0.12491465,-0.01173280,-0.03261760,0.08314885,0.11612748,-0.26756209,0.20555815,-0.00012494,-0.14791717,-0.01839675,0.00523878,-0.05172604,-0.00483647,0.09839324,0.05192110,0.19765592,0.09109628,-0.22646978,0.24637160,-0.09460795,0.38654846,0.08804660,0.08144964,0.15971793,-0.00680128,0.05011930,0.01556234,0.14110778,0.16232742,-0.12750325,0.01752701,0.25167945,0.04699998,0.03251185,0.05297807,0.06362382,0.09228995,-0.09309791,-0.17381097,0.16244321,-0.18033694,-0.16759017,0.00826396,-0.05544745,-0.11632065,-0.18430424,0.11986410,-0.24192041,0.00595070,-0.06767276,-0.18096842,0.04055627,0.07415292,-0.10819071,0.01702512,-0.12612337,0.16824263,0.00393364,0.15505955,-0.03089878,-0.03795116,0.14489542,-0.02054488,0.00541757,-0.16321975,-0.19121009,0.07151943,0.40532205,0.07177983,0.24027674,-0.09148114,-0.09713386,-0.17088842,0.02396557,-0.18112855,-0.04673557,-0.19644995,0.19839273,-0.16766776,0.04273862,0.02595928,-0.02324710,-0.09673700,-0.37353840,-0.17418139,-0.12257599,-0.03767911,-0.09913119,-0.07002199,-0.12140228,-0.03912343,-0.13411322,-0.10879910,-0.00178870,0.08897528,0.02201337,-0.12599811,0.34045801,0.03416705,-0.03410420
sent_hj_0_0,sentence,hj,0,0,0.12146807,0.15694083,-0.30671585,-0.18432873,-0.14910713,-0.01850479,0.04473322,-0.04868931,0.19867596,0.20507878,0.07601890,0.06775997,0.19241495,0.15844400,-0.01312214,0.02877569,-0.19757451,0.19957900,-0.16864023,0.46504149,-0.09321269,0.35421306,-0.06492490,-0.03224056,0.35189596,-0.27112812,0.00447197,0.10800517,0.14291857,-0.03408868,-0.15490781,0.03745250,0.15285370,-0.45425251,0.29937404,0.12609681,-0.08882807,-0.02284820,-0.06157981,0.16206154,-0.07067702,0.03438275,-0.12971763,-0.06904441,0.29021215,-0.13065566,0.23784037,-0.10936586,0.46949700,0.21045767,0.06365672,0.13136348,0.04502239,0.32900259,0.11316945,0.24061976,0.05911895,-0.20149954,-0.04767437,0.17233668,0.04633773,0.02866060,0.08828714,0.24905470,0.03022081,-0.20817406,-0.29796696,0.36611229,-0.33738577,-0.21870203,0.13720155,-0.07769651,-0.05713734,-0.16251601,0.05159737,-0.27507928,-0.10463469,0.10260484,0.01721237,0.03165730,-0.04398696,-0.24054477,-0.07814869,-0.09205225,0.05895317,-0.24257788,0.10249510,0.00292494,0.04085346,0.03887874,0.06213582,0.22458397,0.00747385,-0.08624016,0.11953484,0.41062364,-0.00721532,0.05378305,-0.17421113,-0.22680132,-0.01923574,-0.04884220,-0.02951651,-0.00361602,-0.14348316,0.27248472,-0.19087239,0.09178466,0.01141233,-0.07517262,-0.13856515,-0.13888161,-0.11334523,0.02849632,-0.07346883,-0.16452436,0.07205205,0.07632937,0.05280178,-0.23263706,-0.12158811,0.14965324,-0.06365086,0.10628872,-0.13517106,0.18698476,0.12451058,0.13544540
sent_hj_0_1,sentence,hj,0,1,0.16720614,0.13451061,-0.29166365,-0.21431555,-0.13838007,-0.07015426,0.02627532,-0.08020581,0.11176245,0.19765869,0.06214175,0.00630088,0.20842201,0.14517409,0.00496772,0.03763314,-0.24411273,0.20282808,-0.10518815,0.41997534,0.00380783,0.37039030,-0.06041308,0.01119715,0.28371623,-0.29629651,-0.04362969,0.01497107,0.11683483,-0.03290120,-0.08387659,0.06739606,0.13386963,-0.40500399,0.34980345,0.04730044,-0.13888879,-0.01397897,-0.06688812,0.08872736,-0.07205266,0.11213876,-0.11452460,-0.04313250,0.22018431,-0.20210242,0.28320602,-0.07888948,0.44729674,0.13241631,0.13110855,0.09425361,0.04151185,0.32125077,0.07257000,0.22943039,0.18047716,-0.20284946,-0.01534093,0.16875687,-0.00858876,0.01496282,0.08309159,0.19151519,0.00347418,-0.23117590,-0.31485438,0.35018858,-0.31860143,-0.19197874,0.12823711,-0.05509984,-0.10215769,-0.18429697,0.04136465,-0.27981991,-0.13316944,0.04535335,-0.07561878,0.02645021,-0.00228237,-0.20784375,-0.05926220,-0.03821477,0.06017252,-0.20946446,0.07956230,-0.01236778,0.14305019,0.07836707,0.04886513,0.18218069,-0.01767420,-0.15972805,0.07469270,0.36207190,-0.04678745,0.10855148,-0.08821840,-0.19166994,-0.08555519,-0.03587960,-0.07699014,-0.03274657,-0.14087397,0.26104319,-0.12742788,0.01716243,0.02249542,-0.07259019,-0.12929571,-0.24710366,-0.15179873,0.00919541,-0.06396335,-0.13287701,0.04446851,0.04664991,0.07246566,-0.19004530,-0.11020743,0.07999436,0.02419482,0.04252302,-0.19433141,0.25519836,0.10590748,0.09565258
sent_hj_0_2,sentence,hj,0,2,0.17229630,0.12049461,-0.31935522,-0.20127743,-0.09789993,-0.06621592,0.06332562,-0.08897421,0.16678803,0.26568565,0.08127394,0.03554647,0.20999518,0.18576013,-0.01989564,0.02918871,-0.23874231,0.23227729,-0.15370846,0.46191517,-0.00598718,0.34279165,-0.07674677,0.00730018,0.37238345,-0.33737227,0.01029189,0.08780805,0.14507449,-0.03802345,-0.10879407,0.05204913,0.14412375,-0.45889658,0.33715215,0.10034091,-0.10775211,-0.03106951,-0.06113517,0.12254936,-0.07563177,0.05529958,-0.13544703,-0.02192200,0.25590235,-0.19372061,0.26386666,-0.14155920,0.50133157,0.16217077,0.09733288,0.14260587,0.05294232,0.32551247,0.06487875,0.26422372,0.13244021,-0.21109638,-0.00363308,0.19210140,-0.00589406,0.02939561,0.09307490,0.19863451,0.03788109,-0.22852853,-0.32456246,0.37508082,-0.33925456,-0.21088775,0.10473894,-0.09368471,-0.12009703,-0.18389781,0.08142090,-0.30503574,-0.11177492,0.05710417,-0.06460941,0.07711063,0.01618136,-0.21563883,-0.07307409,-0.04281103,0.09014604,-0.18469094,0.13421978,-0.00062991,0.07581236,0.08042106,0.05487042,0.22598040,0.00520704,-0.14128961,0.10919914,0.43400085,-0.02788092,0.10807070,-0.14235911,-0.24512634,-0.06169512,-0.06615316,-0.05443259,-0.03098115,-0.13816093,0.28080347,-0.20126213,0.04197602,0.01572735,-0.10686824,-0.07827900,-0.21480772,-0.12059329,-0.00663226,-0.03904427,-0.15546581,0.01347285,0.04614624,0.05434171,-0.19472176,-0.14861183,0.08034585,0.01746199,0.06943231,-0.16470093,0.24199946,0.09916271,0.13057004
sent_hj_0_3,sentence,hj,0,3,0.14314270,0.15241373,-0.28321448,-0.18113108,-0.09237832,-0.06620426,0.04626135,-0.03534927,0.20260184,0.19668098,0.04490057,0.03532564,0.16794264,0.14049926,-0.00404097,0.00933988,-0.15489605,0.20158343,-0.15524159,0.45210725,-0.06902613,0.34012857,-0.08396860,0.01724447,0.31567234,-0.27569300,-0.02776619,0.02632337,0.16790640,-0.03231920,-0.13210791,0.02605276,0.16166225,-0.40361452,0.26227018,0.11964616,-0.13489686,-0.05851429,-0.07595287,0.10613936,-0.06216059,0.03592688,-0.12829195,-0.03132571,0.23213045,-0.15851612,0.23873594,-0.11202358,0.45487297,0.17350303,0.09211448,0.09089591,0.03717779,0.24116339,0.05964659,0.21155025,0.08444372,-0.22051138,-0.00983856,0.20979802,0.04367400,0.00497461,0.09542468,0.19210434,0.04110294,-0.18775688,-0.33709261,0.35720509,-0.30739766,-0.22294572,0.06335638,-0.09734363,-0.04609630,-0.16175865,0.01923521,-0.28455245,-0.11557257,0.09429824,-0.04671403,0.02609256,0.00838792,-0.22909597,-0.09637927,-0.05092411,0.06798600,-0.18483330,0.09506180,-0.02278700,0.06776774,0.07835246,0.05390899,0.15585585,0.03420031,-0.11475477,0.13800633,0.35077924,-0.01835096,0.11319163,-0.15341550,-0.18026911,-0.03666555,-0.04353582,-0.04596975,-0.06158076,-0.17414747,0.30913913,-0.17103532,0.10721575,0.05077245,-0.08564316,-0.10879901,-0.15594220,-0.14467008,-0.00506486,-0.04208827,-0.16379695,0.06953489,0.04304490,0.03075893,-0.12521116,-0.12613976,0.09524815,-0.04265021,0.06247176,-0.18351787,0.19124097,0.06749307,0.11842260
sent_hj_0_4,sentence,hj,0,4,0.20872106,0.05044305,-0.36418837,-0.11114411,-0.01901130,-0.07674500,0.06842729,-0.13816218,0.18529859,0.29878378,0.05393640,-0.04843139,0.08846105,0.27320194,0.01145196,-0.03491591,-0.23323676,0.11413854,-0.12989375,0.40409866,0.03710128,0.31652749,-0.17511113,0.01974794,0.37312114,-0.31553864,0.07296824,0.03198685,0.11147210,-0.03465798,-0.04134420,0.08140685,0.16801043,-0.43054032,0.35751134,0.05774951,-0.14039563,-0.06325457,-0.12660146,0.02660561,-0.05599685,-0.00513372,-0.07195433,-0.04972944,0.19182953,-0.18486819,0.30921042,-0.11694851,0.54055023,0.22228546,0.16133147,0.11243544,0.06117358,0.26702580,0.03557603,0.14674976,0.15123345,-0.20895368,0.01915142,0.19133629,-0.04980299,0.07926106,0.07253146,0.04666376,0.04054210,-0.31898740,-0.27691033,0.31317258,-0.26785910,-0.19049090,0.05374915,-0.17764772,-0.15576565,-0.29442635,0.01510555,-0.22546919,-0.18922924,0.08923034,-0.16017470,0.13346554,-0.00241225,-0.17695619,-0.09839247,0.02727250,-0.02537756,-0.10849015,0.01573356,-0.02367259,0.09153221,0.10741569,0.02739292,0.21961954,-0.00025723,-0.20163447,0.14781392,0.45710847,0.03825811,0.15664420,0.00192264,-0.27888238,-0.00165648,-0.00456364,-0.09500671,-0.03555447,-0.20695129,0.29384676,-0.18497315,0.03873871,0.04737153,-0.12751508,-0.15675758,-0.25665504,-0.16493613,0.08166021,0.01769351,-0.11569785,0.02908511,-0.08051747,0.08635514,-0.05113302,-0.24158797,0.00095031,0.06688309,0.04062131,-0.10367262,0.24353096,0.07204238,0.09472413
sent_hj_0_5,sentence,hj,0,5,0.13877973,0.08010070,-0.26178372,-0.15885977,-0.04532226,-0.13185471,0.00954608,-0.04039353,0.17328292,0.23292166,0.00472437,-0.05124851,0.14403756,0.14816694,-0.00283442,0.03488446,-0.17841935,0.18974316,-0.17495449,0.37826332,-0.01694116,0.28461233,-0.10691476,0.03812527,0.33550677,-0.30527845,-0.03322716,-0.08352585,0.18540199,-0.02690945,-0.05745730,0.01387557,0.14660171,-0.39295110,0.19702579,0.11622752,-0.16846770,-0.04149591,-0.06854832,0.02512091,-0.09389110,0.01384651,-0.10409251,0.12021890,0.12030375,-0.23066236,0.25557739,-0.11128088,0.44886339,0.09595434,0.14119631,0.12105355,-0.01265161,0.08475326,-0.03644676,0.21452896,0.17478675,-0.17064723,-0.04799895,0.23250894,0.09594078,-0.01042772,0.12141839,0.08726747,0.01642731,-0.22752655,-0.28711158,0.29598051,-0.21222392,-0.24768496,0.02315900,-0.10238034,-0.13172401,-0.17832826,0.00834700,-0.30018178,-0.14449359,0.00671111,-0.16528009,0.05304144,0.12757337,-0.10935062,-0.05804166,-0.03977070,0.09107215,-0.02403251,0.12014983,0.01404775,0.02794428,0.17531772,0.02498154,0.11081582,0.00903652,-0.16992071,0.11804454,0.44310883,0.00799087,0.19219936,-0.15657650,-0.14397125,-0.05270490,0.00597269,-0.08819232,-0.11713979,-0.20172295,0.28871486,-0.13946024,0.07773310,0.06318475,-0.14506890,-0.04689359,-0.25696832,-0.18628140,-0.04785692,-0.01992380,-0.16398944,-0.04229144,-0.01821985,-0.02451355,-0.07570885,-0.15858114,0.00395764,0.02743811,0.01904276,-0.19397986,0.31196225,-0.01654431,0.14289668
sent_hj_0_6,sentence,hj,0,6,0.16807072,0.04564048,-0.28044662,-0.13838395,-0.04393183,-0.07343660,0.02622060,-0.06011786,0.17071161,0.21966021,-0.00120477,-0.09508125,0.09897442,0.21698871,0.03129094,-0.02525389,-0.20103693,0.15082310,-0.17549360,0.33996513,-0.00719264,0.28001508,-0.10682231,0.06918655,0.37234992,-0.30561131,-0.00492943,-0.10631588,0.15076533,-0.03648335,0.00291620,-0.01672556,0.15995014,-0.38457587,0.23277527,0.17018238,-0.17098960,-0.04964810,-0.10852197,0.02931636,-0.16283610,-0.00244450,-0.14942962,0.08957896,0.08608821,-0.22727974,0.27773070,-0.06590476,0.46026647,0.09179436,0.19072475,0.07293589,0.00942921,0.11850057,-0.06958265,0.18837595,0.16450363,-0.17883952,-0.07329755,0.21350002,0.03018294,-0.01324328,0.10259001,0.00227797,0.00106550,-0.30009857,-0.29659274,0.29912403,-0.19630639,-0.24992865,0.02255148,-0.10583066,-0.17519540,-0.19737957,-0.01494958,-0.27500615,-0.18683074,-0.00947422,-0.20785959,0.04467777,0.12554297,-0.06825390,-0.06436599,-0.00070779,0.03346699,0.01594089,0.06376537,0.03452588,0.07772978,0.20169087,0.01063921,0.16440231,0.01214523,-0.16862471,0.13273127,0.44335759,0.02144144,0.16208351,-0.07431319,-0.14589542,0.00032050,0.02836341,-0.07900913,-0.11657074,-0.21021311,0.31733152,-0.09909891,0.03601515,0.02631223,-0.16930865,-0.04332061,-0.30902654,-0.20245954,-0.00711317,-0.01887659,-0.12081409,-0.05252322,0.01155733,-0.00540763,-0.00663384,-0.20005533,-0.00417803,0.06042145,-0.00235609,-0.15949880,0.34618688,-0.00971787,0.15000840
sent_hj_0_7,sentence,hj,0,7,0.15592961,-0.02825147,-0.26039904,-0.16926023,0.05278362,-0.12371247,0.08616999,-0.07239113,0.15988733,0.33190313,0.02532887,-0.13382097,0.13923261,0.22071309,0.02546973,-0.03220737,-0.19447969,0.23588084,-0.19862199,0.30896577,0.09439208,0.23472777,-0.15499401,0.11982132,0.42508480,-0.39670822,-0.01351617,-0.18445542,0.15269855,-0.04046618,0.01947659,0.02265225,0.18695776,-0.37421256,0.20223838,0.12410634,-0.25179452,-0.12089815,-0.07957932,-0.05791562,-0.10118327,0.06068809,-0.07803224,0.20153376,0.06208224,-0.32503277,0.30704975,-0.08422565,0.49713495,0.05467269,0.21055485,0.18790732,0.00188570,0.01582657,-0.09998246,0.19359541,0.27533686,-0.24650450,0.03283692,0.24604608,0.04221350,0.00872380,0.13346557,-0.08465868,0.01947806,-0.21696024,-0.30235788,0.31811383,-0.22475256,-0.28055680,-0.05715665,-0.14692351,-0.18871301,-0.19812712,0.09778317,-0.30541259,-0.06756509,-0.05694200,-0.29691270,0.07560830,0.24860808,-0.07055061,-0.02543539,-0.00863030,0.09800135,0.07908874,0.19954011,0.02410302,0.05969137,0.22377697,-0.01640284,0.04872775,0.01190241,-0.24580555,0.10781007,0.48343584,0.08169123,0.31136659,-0.08909056,-0.13691668,-0.17266566,-0.02909411,-0.13148174,-0.11728353,-0.21991856,0.29084077,-0.16479421,0.04956138,-0.00202979,-0.17879693,0.01516457,-0.35279089,-0.19558673,-0.13103494,-0.01278969,-0.12358852,-0.07517595,-0.11092868,-0.02858867,0.00741925,-0.21062386,-0.07514916,0.13955024,-0.06771673,-0.20853470,0.41564485,-0.07028104,0.08135045
