version,hj,gd,gd1,gd2,gd3,ba,bb,wb,hs,yz,xr,fy
hj,self,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation
gd,sentence_aggregation,self,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation
gd1,sentence_aggregation,sentence_aggregation,self,no_shared_chapter,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation
gd2,sentence_aggregation,sentence_aggregation,no_shared_chapter,self,no_shared_chapter,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation
gd3,sentence_aggregation,sentence_aggregation,sentence_aggregation,no_shared_chapter,self,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation
ba,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,self,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation
bb,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,self,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation
wb,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,self,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation
hs,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,self,sentence_aggregation,sentence_aggregation,sentence_aggregation
yz,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,self,no_shared_chapter,sentence_aggregation
xr,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,no_shared_chapter,self,sentence_aggregation
fy,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,sentence_aggregation,self
