chapter,version,community_id
0,ba,1
0,bb,1
0,hj,1
0,gd,2
0,gd1,3
0,gd2,4
0,gd3,5
0,fy,6
0,hs,6
0,wb,6
0,yz,6
0,xr,7
1,ba,1
1,fy,1
1,hj,1
1,hs,1
1,wb,1
1,yz,1
1,gd,2
1,gd1,3
1,gd2,4
1,gd3,5
1,bb,6
1,xr,7
2,bb,1
2,gd,1
2,gd1,1
2,hj,1
2,gd2,2
2,gd3,3
2,ba,4
2,fy,4
2,hs,4
2,wb,4
2,yz,4
2,xr,5
3,ba,1
3,bb,1
3,fy,1
3,gd,1
3,gd2,1
3,hj,1
3,hs,1
3,yz,1
3,gd1,2
3,gd3,3
3,wb,4
3,xr,5
4,ba,1
4,bb,1
4,hj,1
4,hs,1
4,wb,1
4,yz,1
4,gd,2
4,gd1,3
4,gd2,4
4,gd3,5
4,xr,6
4,fy,7
5,bb,1
5,fy,1
5,hj,1
5,hs,1
5,wb,1
5,yz,1
5,gd,2
5,gd1,3
5,gd2,4
5,gd3,5
5,ba,6
5,xr,7
6,bb,1
6,fy,1
6,gd,1
6,gd1,1
6,hj,1
6,hs,1
6,wb,1
6,yz,1
6,gd2,2
6,gd3,3
6,ba,4
6,xr,5
7,ba,1
7,fy,1
7,gd,1
7,gd2,1
7,hj,1
7,hs,1
7,wb,1
7,yz,1
7,gd1,2
7,gd3,3
7,bb,4
7,xr,5
8,ba,1
8,bb,1
8,gd,1
8,gd1,1
8,hj,1
8,wb,1
8,gd2,2
8,gd3,3
8,fy,4
8,hs,4
8,yz,4
8,xr,5
9,ba,1
9,bb,1
9,fy,1
9,hj,1
9,wb,1
9,yz,1
9,gd,2
9,gd1,3
9,gd2,4
9,gd3,5
9,hs,6
9,xr,7
10,bb,1
10,fy,1
10,gd,1
10,gd2,1
10,hj,1
10,hs,1
10,wb,1
10,yz,1
10,gd1,2
10,gd3,3
10,ba,4
10,xr,5
11,ba,1
11,bb,1
11,fy,1
11,hj,1
11,hs,1
11,gd,2
11,gd1,3
11,gd2,4
11,gd3,5
11,wb,6
11,yz,6
11,xr,7
12,ba,1
12,bb,1
12,fy,1
12,hj,1
12,hs,1
12,yz,1
12,gd,2
12,gd1,3
12,gd2,4
12,gd3,5
12,wb,6
12,xr,7
13,ba,1
13,bb,1
13,fy,1
13,hj,1
13,hs,1
13,gd,2
13,gd1,3
13,gd2,4
13,gd3,5
13,wb,6
13,yz,6
13,xr,7
14,bb,1
14,fy,1
14,gd,1
14,gd2,1
14,hj,1
14,hs,1
14,wb,1
14,yz,1
14,gd1,2
14,gd3,3
14,ba,4
14,xr,5
15,fy,1
15,hj,1
15,hs,1
15,wb,1
15,gd,2
15,gd1,3
15,gd2,4
15,gd3,5
15,ba,6
15,bb,6
15,yz,6
15,xr,7
16,ba,1
16,bb,1
16,gd,1
16,gd2,1
16,hj,1
16,hs,1
16,wb,1
16,yz,1
16,gd1,2
16,gd3,3
16,xr,4
16,fy,5
17,ba,1
17,bb,1
17,gd,1
17,gd1,1
17,hj,1
17,hs,1
17,wb,1
17,yz,1
17,gd2,2
17,gd3,3
17,xr,4
17,fy,5
18,hj,1
18,ba,2
18,bb,2
18,fy,2
18,gd,2
18,gd1,2
18,hs,2
18,wb,2
18,yz,2
18,gd2,3
18,gd3,4
18,xr,5
19,ba,1
19,bb,1
19,fy,1
19,hj,1
19,hs,1
19,wb,1
19,gd,2
19,gd1,2
19,yz,2
19,gd2,3
19,gd3,4
19,xr,5
20,bb,1
20,fy,1
20,hj,1
20,hs,1
20,wb,1
20,yz,1
20,gd,2
20,gd1,3
20,gd2,4
20,gd3,5
20,ba,6
20,xr,7
21,bb,1
21,fy,1
21,gd,1
21,gd2,1
21,hj,1
21,hs,1
21,wb,1
21,yz,1
21,gd1,2
21,gd3,3
21,ba,4
21,xr,5
22,ba,1
22,bb,1
22,fy,1
22,hj,1
22,hs,1
22,yz,1
22,gd,2
22,gd1,3
22,gd2,4
22,gd3,5
22,wb,6
22,xr,7
23,bb,1
23,fy,1
23,hj,1
23,hs,1
23,wb,1
23,yz,1
23,gd,2
23,gd1,3
23,gd2,4
23,gd3,5
23,ba,6
23,xr,7
24,ba,1
24,bb,1
24,hj,1
24,hs,1
24,wb,1
24,yz,1
24,gd,2
24,gd1,3
24,gd2,4
24,gd3,5
24,xr,6
24,fy,7
25,ba,1
25,bb,1
25,fy,1
25,gd,1
25,gd1,1
25,hj,1
25,wb,1
25,yz,1
25,gd2,2
25,gd3,3
25,hs,4
25,xr,5
26,ba,1
26,bb,1
26,gd,1
26,gd1,1
26,hj,1
26,hs,1
26,wb,1
26,yz,1
26,gd2,2
26,gd3,3
26,xr,4
26,fy,5
27,fy,1
27,hj,1
27,ba,2
27,bb,2
27,gd,2
27,gd1,2
27,gd3,2
27,hs,2
27,wb,2
27,yz,2
27,gd2,3
27,xr,4
28,hj,1
28,gd,2
28,gd1,3
28,gd2,4
28,gd3,5
28,ba,6
28,bb,6
28,fy,6
28,hs,6
28,wb,6
28,yz,6
28,xr,7
29,hj,1
29,ba,2
29,bb,2
29,fy,2
29,gd,2
29,gd1,2
29,hs,2
29,wb,2
29,yz,2
29,gd2,3
29,gd3,4
29,xr,5
30,ba,1
30,bb,1
30,fy,1
30,hj,1
30,wb,1
30,yz,1
30,gd,2
30,gd1,3
30,gd2,4
30,gd3,5
30,hs,6
30,xr,7
31,ba,1
31,bb,1
31,fy,1
31,hj,1
31,hs,1
31,yz,1
31,gd,2
31,gd1,3
31,gd2,4
31,gd3,5
31,wb,6
31,xr,7
32,ba,1
32,bb,1
32,fy,1
32,hj,1
32,hs,1
32,wb,1
32,gd,2
32,gd1,3
32,gd2,4
32,gd3,5
32,yz,6
32,xr,7
33,hj,1
33,gd,2
33,gd1,3
33,gd2,4
33,gd3,5
33,ba,6
33,bb,6
33,fy,6
33,hs,6
33,wb,6
33,yz,6
33,xr,7
34,ba,1
34,fy,1
34,hj,1
34,hs,1
34,wb,1
34,yz,1
34,gd,2
34,gd1,3
34,gd2,4
34,gd3,5
34,bb,6
34,xr,7
35,ba,1
35,fy,1
35,hj,1
35,hs,1
35,wb,1
35,yz,1
35,gd,2
35,gd1,3
35,gd2,4
35,gd3,5
35,bb,6
35,xr,7
36,ba,1
36,bb,1
36,hj,1
36,hs,1
36,wb,1
36,gd,2
36,gd1,3
36,gd2,4
36,gd3,5
36,fy,6
36,yz,6
36,xr,7
37,hj,1
37,gd,2
37,gd1,3
37,gd2,4
37,gd3,5
37,ba,6
37,bb,6
37,fy,6
37,hs,6
37,wb,6
37,yz,6
37,xr,7
38,ba,1
38,fy,1
38,hj,1
38,hs,1
38,wb,1
38,yz,1
38,gd,2
38,gd1,3
38,gd2,4
38,gd3,5
38,bb,6
38,xr,7
39,ba,1
39,fy,1
39,hj,1
39,hs,1
39,wb,1
39,yz,1
39,gd,2
39,gd1,3
39,gd2,4
39,gd3,5
39,bb,6
39,xr,7
40,ba,1
40,bb,1
40,fy,1
40,hj,1
40,hs,1
40,yz,1
40,gd,2
40,gd1,3
40,gd2,4
40,gd3,5
40,wb,6
40,xr,7
41,bb,1
41,fy,1
41,hj,1
41,hs,1
41,wb,1
41,yz,1
41,gd,2
41,gd1,3
41,gd2,4
41,gd3,5
41,ba,6
41,xr,7
42,hj,1
42,gd,2
42,gd1,3
42,gd2,4
42,gd3,5
42,ba,6
42,bb,6
42,fy,6
42,hs,6
42,wb,6
42,yz,6
42,xr,7
43,ba,1
43,bb,1
43,hj,1
43,hs,1
43,wb,1
43,yz,1
43,gd,2
43,gd1,3
43,gd2,4
43,gd3,5
43,xr,6
43,fy,7
44,bb,1
44,fy,1
44,hj,1
44,hs,1
44,wb,1
44,gd,2
44,gd1,3
44,gd2,4
44,gd3,5
44,ba,6
44,yz,7
44,xr,8
45,ba,1
45,bb,1
45,gd,1
45,gd1,1
45,hj,1
45,hs,1
45,wb,1
45,gd2,2
45,gd3,3
45,yz,4
45,xr,5
45,fy,6
46,ba,1
46,bb,1
46,hj,1
46,hs,1
46,wb,1
46,xr,1
46,gd,2
46,gd1,3
46,gd2,4
46,gd3,5
46,yz,6
46,fy,7
47,ba,1
47,bb,1
47,fy,1
47,hj,1
47,hs,1
47,xr,1
47,gd,2
47,gd1,3
47,gd2,4
47,gd3,5
47,wb,6
47,yz,7
48,ba,1
48,bb,1
48,fy,1
48,gd,1
48,gd1,1
48,hj,1
48,hs,1
48,wb,1
48,gd2,2
48,gd3,3
48,yz,4
48,xr,5
49,ba,1
49,bb,1
49,fy,1
49,hj,1
49,hs,1
49,xr,1
49,gd,2
49,gd1,3
49,gd2,4
49,gd3,5
49,wb,6
49,yz,7
50,ba,1
50,bb,1
50,hj,1
50,hs,1
50,wb,1
50,xr,1
50,gd,2
50,gd1,3
50,gd2,4
50,gd3,5
50,yz,6
50,fy,7
51,hj,1
51,ba,2
51,bb,2
51,fy,2
51,gd,2
51,gd1,2
51,hs,2
51,wb,2
51,xr,2
51,gd2,3
51,gd3,4
51,yz,5
52,hj,1
52,gd,2
52,gd1,3
52,gd2,4
52,gd3,5
52,ba,6
52,bb,6
52,fy,6
52,hs,6
52,wb,6
52,xr,6
52,yz,7
53,hj,1
53,gd,2
53,gd1,3
53,gd2,4
53,gd3,5
53,ba,6
53,bb,6
53,fy,6
53,hs,6
53,wb,6
53,xr,6
53,yz,7
54,hj,1
54,wb,1
54,gd,2
54,gd1,3
54,gd2,4
54,gd3,5
54,ba,6
54,bb,6
54,fy,6
54,hs,6
54,xr,6
54,yz,7
55,hj,1
55,ba,2
55,bb,2
55,fy,2
55,gd,2
55,gd2,2
55,hs,2
55,wb,2
55,xr,2
55,gd1,3
55,gd3,4
55,yz,5
56,ba,1
56,bb,1
56,fy,1
56,hj,1
56,hs,1
56,xr,1
56,gd,2
56,gd1,3
56,gd2,4
56,gd3,5
56,wb,6
56,yz,7
57,bb,1
57,fy,1
57,gd,1
57,gd1,1
57,hj,1
57,hs,1
57,wb,1
57,xr,1
57,gd2,2
57,gd3,3
57,ba,4
57,yz,5
58,gd,1
58,gd1,1
58,hj,1
58,wb,1
58,xr,1
58,gd2,2
58,gd3,3
58,ba,4
58,bb,4
58,fy,4
58,hs,4
58,yz,5
59,hj,1
59,ba,2
59,bb,2
59,fy,2
59,gd,2
59,gd1,2
59,gd3,2
59,hs,2
59,wb,2
59,xr,2
59,gd2,3
59,yz,4
60,ba,1
60,bb,1
60,fy,1
60,gd,1
60,gd2,1
60,hj,1
60,hs,1
60,xr,1
