rank,version_a,version_b,similarity,distance_1_minus_similarity
1,hs,wb,0.99839509,0.0016049099999999594
2,bb,wb,0.99837494,0.001625059999999956
3,bb,hs,0.99822336,0.001776639999999996
4,fy,hj,0.99816686,0.0018331400000000109
5,fy,hs,0.99776489,0.0022351099999999846
6,bb,hj,0.99724531,0.0027546899999999486
7,hj,wb,0.99713671,0.002863289999999963
8,hj,hs,0.99686277,0.003137229999999991
9,fy,wb,0.99659729,0.003402710000000031
10,bb,fy,0.99628079,0.003719209999999973
11,ba,wb,0.99484354,0.005156460000000029
12,ba,bb,0.9939791,0.006020899999999996
13,ba,hs,0.99333912,0.00666087999999998
14,ba,hj,0.99122131,0.008778689999999978
15,ba,fy,0.9911744,0.008825599999999989
16,gd,gd1,0.97220021,0.02779978999999999
17,wb,yz,0.85480952,0.14519048
18,ba,yz,0.85470146,0.14529853999999998
19,bb,yz,0.85391724,0.14608275999999998
20,hj,yz,0.84855014,0.15144986000000005
21,fy,yz,0.84758461,0.15241539000000004
22,hs,yz,0.84386075,0.15613924999999995
23,ba,gd1,0.81161243,0.18838756999999995
24,gd1,hj,0.81059104,0.18940895999999996
25,bb,gd1,0.80251646,0.19748354
26,gd1,wb,0.79894918,0.20105081999999996
27,fy,gd1,0.79774237,0.20225762999999997
28,gd1,hs,0.79522926,0.20477073999999995
29,ba,gd,0.76881212,0.23118788
30,gd,hj,0.76179713,0.23820286999999996
31,bb,gd,0.75159705,0.24840295
32,fy,gd,0.74954212,0.25045788
33,gd,wb,0.74755281,0.25244719000000004
34,hs,xr,0.74650979,0.25349021000000005
35,gd,hs,0.74530005,0.25469995
36,hj,xr,0.74309152,0.25690848
37,ba,xr,0.74239641,0.25760359
38,fy,xr,0.74046946,0.25953054
39,bb,xr,0.73789167,0.26210833
40,wb,xr,0.73614359,0.26385641000000004
41,gd1,xr,0.65289652,0.34710348
42,gd,yz,0.65228063,0.34771936999999997
43,gd1,yz,0.65060651,0.34939349
44,gd,gd2,0.63107622,0.36892378000000003
45,gd,xr,0.57988131,0.42011869
46,gd1,gd2,0.51221961,0.48778038999999995
47,gd2,yz,0.42003971,0.57996029
48,gd,gd3,0.34455052,0.6554494799999999
49,ba,gd2,0.34034255,0.65965745
50,bb,gd2,0.31570709,0.6842929099999999
51,xr,yz,0.31553042,0.68446958
52,gd2,hj,0.31001058,0.6899894200000001
53,gd2,wb,0.30137035,0.69862965
54,gd2,hs,0.29382905,0.70617095
55,fy,gd2,0.29157874,0.7084212599999999
56,gd1,gd3,0.22742006,0.77257994
57,gd2,gd3,0.22164167,0.77835833
58,gd2,xr,0.12484394,0.87515606
59,gd3,yz,0.04031951,0.95968049
60,ba,gd3,-0.01630805,1.01630805
61,gd3,xr,-0.03595519,1.03595519
62,gd3,hj,-0.05728072,1.05728072
63,gd3,wb,-0.05830912,1.05830912
64,fy,gd3,-0.06138615,1.06138615
65,bb,gd3,-0.06165413,1.06165413
66,gd3,hs,-0.06634503,1.06634503
