node_id,type,version,chapter,sentence,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127
version_hj,version,hj,,,-0.00750246,-0.00235198,0.18225338,0.19864972,0.00096785,-0.05533733,0.04728601,0.00530786,0.01515118,0.05921571,0.11888284,0.03691550,-0.02869219,0.00212557,0.06801250,0.04054631,0.27337223,-0.04306083,-0.08167146,-0.00593522,-0.08452683,0.17800622,0.09837153,0.20744315,0.04613945,-0.12759808,0.03117739,0.02814191,-0.13217512,0.05535619,-0.02419812,0.10685604,-0.04828161,-0.22353511,0.11135428,-0.07411266,-0.14244640,-0.04034393,-0.21163677,-0.15931505,-0.14063603,0.00767840,-0.31284046,0.11900748,-0.06457583,-0.08040071,-0.18365827,-0.04767063,-0.00014500,0.05322413,-0.03234396,-0.21158062,-0.01098359,0.08399148,-0.09808521,0.21613029,0.02884778,0.20981704,0.02869731,0.26732385,-0.05058849,0.17388429,-0.09932828,0.08862773,0.02374771,-0.07694273,-0.07299554,-0.10759650,-0.06810731,-0.01421471,-0.16276342,0.01688159,0.04353618,-0.14008673,-0.12708199,-0.00249349,0.09674477,0.18093637,-0.06266639,-0.21567826,0.07821155,-0.35904005,0.01153012,-0.13766515,-0.08019146,-0.08297716,0.13031207,-0.19685343,0.01206067,-0.06253000,-0.13831428,-0.01597792,-0.12576346,-0.29455739,-0.26603064,-0.15985361,0.00847519,0.11318135,0.17745101,0.11361845,-0.07526141,0.06627839,-0.06330971,0.05171937,-0.07532048,-0.17009300,-0.17906642,0.08451359,0.14741518,0.14850983,-0.21581672,0.15941297,0.12166667,-0.24404226,0.06964795,0.14963549,-0.10977399,-0.11547813,-0.00986434,-0.24665390,-0.08263975,0.10733112,-0.18684675,0.10719133,-0.19217236,-0.07987694,-0.11516502,0.06924706
chapter_hj_0,chapter,hj,0,,-0.06701598,0.12019163,-0.10500111,0.12435812,0.06062858,0.02833336,-0.15587282,0.06125990,0.06466828,0.01075413,0.06808079,-0.07657364,-0.07775048,-0.09675696,-0.12824692,-0.03844773,0.06605355,-0.07044227,0.12255742,0.18840103,0.05323828,0.08898357,-0.00027207,-0.17025734,0.04825515,0.05558082,-0.05787582,-0.11953025,-0.09016025,-0.13542208,0.06123985,-0.00698281,0.09051339,0.12272684,0.05588301,0.19520816,0.15694651,-0.07215471,0.08855005,0.01476143,0.01002807,0.01860530,0.09507848,-0.11710443,-0.12230455,0.06000797,0.15351523,-0.02592413,-0.06237879,0.00142725,-0.07776795,0.19688782,0.06328851,0.01271873,0.00485820,-0.24233709,0.09240359,0.09984475,0.16990711,0.07793554,0.00696122,-0.27473778,0.03796826,-0.16330594,-0.02501730,0.09546095,0.07403021,0.05986307,0.09451038,0.06748957,-0.14359003,0.09775646,-0.10687768,0.11676583,0.21500020,-0.01617511,-0.02445308,0.02927430,0.12408657,0.10044207,-0.11260127,0.11184657,-0.07462399,0.02520136,0.04184144,-0.00684867,-0.08227259,0.01765256,-0.08001652,-0.09440115,-0.10777819,-0.04013979,0.00209197,0.06535501,0.03521742,0.12864211,0.12967423,-0.06169750,-0.12511992,0.02176490,0.04444685,-0.06467931,-0.05771134,-0.16329269,-0.07482193,-0.04842604,0.01306506,0.10245393,-0.14348826,-0.00475267,0.17717621,0.03798115,-0.11843565,0.08498877,-0.07627171,-0.23047803,-0.15088901,-0.03382451,0.15875326,0.11644788,0.06949426,0.02641337,-0.08874113,-0.04109684,0.01394974,0.08681471,0.03570569,-0.06116026
sent_hj_0_0,sentence,hj,0,0,-0.03728991,0.24822837,-0.33561346,0.07537627,0.06266099,0.20811458,-0.03818721,0.14964625,0.03925160,0.11880953,-0.04321462,-0.20607835,-0.24911284,-0.22384161,-0.26318279,0.08125763,0.03897458,0.02344832,0.18262014,0.35483629,0.10750207,0.03765899,0.11549215,-0.42369723,-0.01656485,0.06638665,-0.02239350,-0.08747903,-0.04477779,-0.24757917,0.08460486,-0.03907955,0.19720319,0.31633967,-0.06383679,0.26834750,0.33570641,0.06756703,0.09588131,0.08135559,0.18691929,0.18129399,0.30459732,-0.20943636,-0.15541571,0.11784835,0.22310551,-0.01330862,0.05823500,-0.06290392,-0.12862696,0.43535286,0.19422080,-0.05743544,-0.03898941,-0.37754285,0.14136286,0.04706408,0.00828716,-0.21454613,0.03481124,-0.43226922,0.07252246,-0.22967181,-0.09523020,0.12816946,0.01068352,0.20993277,0.19865966,0.14046499,-0.39767945,-0.10334070,-0.26078814,0.20807742,0.18523982,0.07623889,-0.11491198,-0.07246210,0.25333035,0.25688064,-0.37157488,0.15981548,-0.12085308,0.02945260,0.01766792,-0.17366675,0.03857448,0.11129697,-0.06440081,0.01709063,0.06120915,0.03710987,0.27787682,0.18828912,0.43264914,0.36970323,0.17405520,-0.22083828,-0.18411505,-0.04674294,0.08782604,-0.12204684,0.01102934,-0.33451250,0.03233474,0.12379484,0.10158078,0.11344782,-0.28724587,-0.21224150,0.28182203,-0.04593404,-0.15865284,0.09440184,-0.09848582,-0.34492701,-0.22469522,-0.00198569,0.02906647,0.35315421,0.31060186,-0.07151541,-0.01033196,-0.17407195,0.02164178,0.23959517,0.12953122,-0.15935478
sent_hj_0_1,sentence,hj,0,1,-0.05437636,0.22972637,-0.33993816,0.10370542,0.08714620,0.18321431,0.02845592,0.11940569,-0.04330871,0.08596069,-0.08954899,-0.16039987,-0.32899538,-0.21356428,-0.27322727,0.14387435,0.02358186,0.03339713,0.09626061,0.33789089,0.17579833,0.04072672,0.16225657,-0.38870838,-0.01551395,0.14679579,-0.00117298,-0.05819553,-0.03077953,-0.28317586,0.12806769,-0.05285079,0.19393346,0.26964843,-0.00514714,0.26058334,0.35520568,0.00177494,0.04991286,0.10560184,0.15817773,0.14520209,0.24176194,-0.15850547,-0.10451852,0.08672588,0.12372310,0.11328677,0.16407731,-0.02369590,-0.12339870,0.39063323,0.23825598,-0.06122901,0.00471103,-0.35994318,0.12759756,0.06729801,-0.00994736,-0.29561907,-0.00271220,-0.41557470,0.06962950,-0.17518646,-0.14098702,0.03365240,-0.05101702,0.15992977,0.15303414,0.11312796,-0.34949684,-0.07449567,-0.21502084,0.14924967,0.13378900,0.11557901,-0.05860728,-0.05644839,0.24667183,0.29958758,-0.39181185,0.09112474,-0.04268941,0.07922628,0.04834802,-0.20247141,0.13261564,0.08514472,-0.05536766,0.03392906,0.05195255,0.01356020,0.27340826,0.09213275,0.48942593,0.29074249,0.18006094,-0.19558004,-0.08664192,-0.00972450,0.10871992,-0.03039110,0.05412583,-0.33631355,-0.00844467,0.11262245,0.09299240,0.03960628,-0.28712597,-0.10914010,0.20616515,-0.03373671,-0.16808558,0.02439521,-0.04413624,-0.23497565,-0.21550106,0.00621761,0.12415581,0.32201958,0.30379444,-0.07804550,0.03075763,-0.14896734,0.03502480,0.22528228,0.09511846,-0.05907029
sent_hj_0_2,sentence,hj,0,2,-0.03647615,0.20658998,-0.31935817,0.14502470,0.07436006,0.13169532,-0.03504639,0.13216388,-0.01109585,0.04663523,-0.03064592,-0.20702748,-0.22090799,-0.27804008,-0.30945325,0.03801127,0.08065011,0.08005050,0.08479735,0.31873769,0.09510193,0.09632922,0.14157118,-0.49598366,-0.00772683,0.11582039,0.02377680,-0.09375289,-0.06302112,-0.17859916,0.15501180,-0.15572852,0.15658213,0.28852317,-0.02863269,0.23770428,0.33472258,0.10818598,0.06508856,0.14745364,0.13886742,0.05409522,0.24270797,-0.25982970,-0.11433284,0.07369518,0.17118832,0.05921778,0.06630553,-0.06284215,-0.08926412,0.30991656,0.16417004,-0.12977515,-0.11334452,-0.34739032,0.09159745,-0.04138647,-0.00950839,-0.12169176,0.00617788,-0.44860330,0.05326551,-0.22916427,-0.10574559,0.13567166,-0.04881631,0.16303124,0.13624182,0.10217959,-0.39976269,-0.12781334,-0.22954834,0.22851877,0.20192993,-0.01055213,-0.11293464,-0.05108868,0.16184929,0.20283990,-0.28273180,0.05821291,-0.05690101,0.02413884,0.01932872,-0.15875156,0.02187589,0.06220984,-0.13896427,-0.01935760,0.04154615,0.07973520,0.25403491,0.05721485,0.44911069,0.24495593,0.21933860,-0.22639114,-0.26271927,-0.05737780,0.18536328,-0.12030590,-0.02919754,-0.29646182,-0.10181983,0.12165160,0.02722640,0.09877587,-0.22990593,-0.21197923,0.27941820,-0.11071298,-0.16845800,0.13358577,-0.07691160,-0.31612319,-0.18718001,0.04803918,0.11079640,0.31151757,0.32975122,-0.07288729,-0.08514057,-0.18012731,-0.00318375,0.24679756,0.15060513,-0.18788250
sent_hj_0_3,sentence,hj,0,3,-0.06532738,0.21365391,-0.29085800,0.10626696,0.12580998,0.07708091,-0.10631374,0.12623757,-0.00107129,0.16620503,-0.04669858,-0.19863999,-0.17276859,-0.26825199,-0.31240562,0.03523416,0.06675526,-0.01110665,0.12427104,0.36897621,0.11266689,0.10528444,0.13830851,-0.49159706,-0.01504411,0.07389122,0.05729844,-0.07815135,-0.08403587,-0.18655360,0.14961711,-0.14348979,0.22930031,0.29502746,-0.03001658,0.22867692,0.32258877,0.05881687,0.08610662,0.11087336,0.16371691,0.11299847,0.24851641,-0.23069508,-0.15391350,0.10222764,0.21150860,0.02792870,0.02154916,-0.01442391,-0.04064572,0.34477305,0.21031864,-0.10720609,-0.04530988,-0.42352375,0.17131381,-0.00619366,0.01887108,-0.11853383,0.01005457,-0.42066920,0.09298029,-0.30281359,-0.10798752,0.13334155,-0.04487883,0.13420087,0.15907831,0.11385611,-0.36829254,-0.05688908,-0.24522194,0.21634252,0.21947047,0.00821960,-0.13838053,-0.02504478,0.13656627,0.18407190,-0.27671123,0.08291157,-0.09973094,-0.00520949,0.07205001,-0.15544455,0.02240898,0.06851880,-0.10073215,-0.03668709,0.00428350,0.02208195,0.27917010,0.10718159,0.41536975,0.31873295,0.20554149,-0.20556274,-0.31262463,-0.05670474,0.11495549,-0.11351164,-0.08394913,-0.30029801,-0.07523058,0.11225502,0.06474338,0.13067608,-0.22708331,-0.19586900,0.33031473,-0.06553674,-0.19180091,0.10661951,-0.10497708,-0.31337830,-0.14446512,0.01847805,0.06620267,0.32420799,0.25253853,-0.07704960,-0.08853212,-0.17500874,0.00692353,0.25720999,0.15516923,-0.15497710
sent_hj_0_4,sentence,hj,0,4,-0.10678842,0.22672395,-0.28201324,0.14274405,0.16510619,0.04847865,-0.14552327,0.09607253,-0.00760664,0.07357713,-0.04188830,-0.22307631,-0.14251730,-0.27878216,-0.27561706,0.01349856,0.09605709,0.00618797,0.11223723,0.35534966,0.13846593,0.12095111,0.12813695,-0.51823300,0.00192665,0.10152243,0.02568495,-0.10174949,-0.09697777,-0.19425511,0.14717692,-0.20435593,0.20067473,0.32862309,-0.01991332,0.23310947,0.33403087,0.04836008,0.13085854,0.16455495,0.15282154,0.06764045,0.26158267,-0.24696071,-0.13205603,0.06826746,0.24995029,0.05867018,0.03395890,-0.01314249,0.02748877,0.32616317,0.18229653,-0.11720920,-0.05952686,-0.46875238,0.14048782,0.00088225,0.05649800,-0.11130883,-0.01387024,-0.45329756,0.08559909,-0.32684985,-0.13597962,0.13625270,-0.04637257,0.14592203,0.17442170,0.15102106,-0.32564995,-0.02770108,-0.23458548,0.22062112,0.26200750,-0.05978423,-0.10540822,0.00231108,0.16011633,0.13371485,-0.23276752,0.08571762,-0.07744446,0.02223835,0.10384431,-0.14873153,0.00776915,0.06183593,-0.12380882,-0.09405597,-0.02942316,-0.01109980,0.23814288,0.14614366,0.39686349,0.31208029,0.22453348,-0.21344946,-0.33034477,-0.05605391,0.14983840,-0.11599448,-0.10951600,-0.28117117,-0.12891699,0.12426009,0.05250540,0.10820952,-0.25427461,-0.14492698,0.33615172,-0.05216718,-0.22331886,0.10099255,-0.10288481,-0.32764372,-0.19122766,0.01798503,0.14442772,0.30566943,0.24212927,-0.05600941,-0.10485763,-0.21928765,-0.00123920,0.23375329,0.14886969,-0.15539362
sent_hj_0_5,sentence,hj,0,5,-0.06973085,0.12595662,-0.16481259,0.12014470,0.07042971,-0.06736467,-0.13728130,0.09786937,-0.05651851,0.08853438,0.02622853,-0.13512751,-0.10619818,-0.25652000,-0.23046213,0.02950927,-0.01967484,-0.05993833,0.12464398,0.21518806,0.06976485,0.10115125,0.07303354,-0.35136658,-0.02843163,0.01428285,0.07453776,-0.08543695,-0.05344112,-0.05753035,0.10926159,-0.20384914,0.17629601,0.26812974,0.05080181,0.23629986,0.16088091,0.09434988,0.10894921,0.07492537,0.12449367,0.05227036,0.17713965,-0.16851652,-0.12702027,0.02505192,0.21641275,0.06226099,-0.03376584,-0.00975015,0.02613773,0.30130556,0.08816449,-0.10069641,-0.06070342,-0.34395534,0.09672534,-0.04425501,0.07015824,0.03545130,0.07038038,-0.27010176,0.14522064,-0.24988329,-0.05895058,0.16668275,-0.01324654,0.12511159,0.08248624,0.06012745,-0.15509921,-0.02719230,-0.19413990,0.13029401,0.20994516,-0.01497466,-0.11517825,0.02981734,0.04095690,0.11602616,-0.09982762,0.06396312,-0.10642976,-0.01572835,0.04976782,-0.05238663,-0.03101120,0.10346130,-0.06085936,-0.08369344,-0.05669944,0.03478831,0.15750268,0.04353644,0.30251980,0.21998110,0.16559049,-0.08985261,-0.26260516,-0.07697096,0.05350211,-0.12661827,-0.09190742,-0.18159631,-0.09966603,0.09674796,-0.04534080,0.06517328,-0.17151891,-0.17625766,0.26682615,-0.07774065,-0.17029555,0.14669813,-0.09667512,-0.31428447,-0.14040896,-0.04593807,0.03558148,0.22094615,0.13218108,-0.01461668,-0.13066670,-0.14222109,-0.06684117,0.17277059,0.09441739,-0.17173961
sent_hj_0_6,sentence,hj,0,6,-0.17836523,0.20701079,-0.27061132,0.11735769,0.13742194,0.00713332,-0.09242286,0.06721668,-0.04956965,0.00907976,-0.04158023,-0.18734099,-0.16128355,-0.30750465,-0.26161808,0.01302307,0.05209779,0.02478281,0.13843739,0.29920834,0.17460886,0.03757682,0.12214293,-0.38846672,0.00013569,0.07167137,0.00941147,-0.11337964,-0.03760713,-0.19663809,0.11722450,-0.22602944,0.16574565,0.34292799,0.00589780,0.32859719,0.29184514,0.10566943,0.12693550,0.16677204,0.16382480,0.06775846,0.19134469,-0.21545890,-0.07975237,-0.01567390,0.28193989,0.13923499,0.05844687,0.05126785,0.06919152,0.36793503,0.19735093,-0.08659323,-0.01184865,-0.46066102,0.12968971,-0.04501415,0.07619074,-0.13287194,0.00876646,-0.38638198,0.10480758,-0.37631887,-0.16569582,0.15503989,0.00533157,0.18889585,0.14805312,0.18158254,-0.23587137,-0.01869779,-0.21177918,0.15816613,0.24311267,-0.03481307,-0.09050576,0.02664951,0.17638882,0.14015864,-0.22160256,0.13839728,-0.07950705,0.06199050,0.07148731,-0.09947650,-0.03433970,0.10331925,-0.05231006,-0.12121588,-0.00879431,-0.04475610,0.21011186,0.12513566,0.43742049,0.32810217,0.21258740,-0.16595776,-0.27264646,-0.08426762,0.10649054,-0.10876724,-0.08741967,-0.21775903,-0.07073624,0.11893442,0.07055749,0.01600705,-0.28431079,-0.16163914,0.32015029,-0.09924172,-0.27693152,0.11295819,-0.13801579,-0.34708038,-0.22378534,-0.05538135,0.14354071,0.29256204,0.16241148,-0.05608523,-0.09719816,-0.19878516,-0.04933871,0.24310401,0.14354707,-0.19289152
sent_hj_0_7,sentence,hj,0,7,-0.14914945,0.14763461,-0.21690424,0.15550375,0.17258075,-0.13260373,-0.16329347,0.10676658,-0.08390633,0.01743240,-0.02905953,-0.17974252,-0.12184916,-0.32555342,-0.31470144,0.01518356,0.03212884,-0.00918652,0.11805494,0.29333454,0.12470124,0.10808919,0.06029477,-0.46375024,0.01107263,0.09030104,0.07826652,-0.10952010,-0.07687442,-0.13991319,0.16067681,-0.32073241,0.19512239,0.32685283,0.09281232,0.31518990,0.29418087,0.10603730,0.15198368,0.16836640,0.16616032,-0.01049215,0.18031380,-0.22844015,-0.08675402,-0.00314990,0.29600319,0.17425644,0.02939544,0.05400994,0.09371964,0.33107662,0.19960742,-0.13882770,-0.04937892,-0.46620411,0.10303855,-0.06190794,0.14240652,-0.03158933,-0.02257786,-0.38868865,0.14891475,-0.39832145,-0.10909305,0.21450855,0.00417373,0.18560795,0.09418601,0.10549982,-0.19968948,0.02594744,-0.16906910,0.18977541,0.30588901,-0.06807926,-0.10902646,0.00615907,0.06372157,0.15406726,-0.14288309,0.09007778,-0.08857380,0.05076061,0.06864325,-0.07258998,-0.11066130,0.10662895,-0.12768459,-0.19147219,-0.06246395,-0.03767562,0.16307475,0.06141746,0.39453304,0.22103454,0.22413827,-0.16143954,-0.35828981,-0.06498245,0.14678475,-0.12782535,-0.09642045,-0.26581582,-0.19175641,0.12111720,0.03892801,0.05362213,-0.27525073,-0.19979228,0.35794294,-0.15212971,-0.24912515,0.19244124,-0.16515687,-0.39729124,-0.15826541,-0.01545600,0.19869733,0.32824549,0.15423450,-0.06252561,-0.17280769,-0.17858900,-0.02385850,0.26100454,0.15909670,-0.23016801
