node_id,type,version,chapter,sentence,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127
version_hj,version,hj,,,-0.17101695,0.03092932,0.22957076,-0.21978024,0.25378519,-0.02380417,0.05534139,-0.03322655,-0.53943074,0.13319017,0.11810497,0.07496299,0.25989935,-0.18217234,-0.17583860,0.73211384,-0.03779876,0.49859104,-0.11448532,-0.03468350,0.25943610,-0.02009828,-0.54083568,0.05822068,-0.22524552,-0.46918359,0.22408588,-0.20966771,0.18879546,-0.17879379,0.12018386,0.18914315,0.02655385,0.24777631,0.10308932,-0.26428184,-0.45232126,-0.22835419,0.06103232,-0.11554993,0.37536126,0.19702150,0.75538880,0.13920149,-0.04228229,-0.38231078,0.22900809,0.01938153,-0.06989466,-0.03499170,-0.30027729,-0.06988271,0.02061409,-0.19676442,0.07532986,0.13123004,0.29940102,0.08979394,0.02918977,-0.20254467,0.21293733,0.06279895,-0.05150977,0.01398693,0.11655089,0.51438022,0.19469725,-0.02615090,-0.10512545,0.29858622,-0.14088875,0.33361411,-0.01235939,0.13750365,0.18405156,0.24807443,0.23715909,-0.17259420,0.07484519,0.27036870,-0.06556108,0.02989683,0.07906669,-0.21172151,0.50015652,-0.01067728,0.23909624,-0.14654687,0.15029077,0.15150636,0.02400265,-0.40140545,-0.35023674,-0.09849623,-0.27709949,-0.15808769,-0.09981038,0.41118106,0.08256701,0.06137334,-0.31341788,-0.24539067,-0.19540405,0.06666847,-0.02125005,-0.64733601,0.52071333,-0.13016777,-0.15094820,0.40093428,-0.41624451,-0.12161651,0.12172982,-0.23508990,0.50113028,0.25162655,0.13562135,-0.43274143,0.11190435,-0.05583233,0.42000604,-0.35264078,0.28710893,0.27758262,-0.33695915,0.03497165,-0.37594879,-0.31814170
chapter_hj_0,chapter,hj,0,,0.12764636,-0.02871792,-0.21073556,-0.15615080,-0.01666747,-0.05433587,0.04747417,-0.01791539,0.05710645,0.22264683,0.04380134,-0.07685605,0.15333454,0.21815841,0.02043310,0.04747589,-0.12286573,0.17458415,-0.16034810,0.11856350,0.06228708,0.16753320,-0.12518261,0.10267782,0.25055182,-0.22103621,0.02316311,-0.08956814,0.13150181,0.04696030,-0.04998395,0.08181469,0.16241261,-0.21446206,0.18029010,0.00008827,-0.08872297,0.01310623,-0.08030145,-0.01486707,-0.04734436,0.07404774,0.06046982,0.12930547,0.12294105,-0.13972183,0.21438442,-0.08043986,0.29843226,0.02012084,0.07113938,0.08863936,-0.04694112,0.06787900,-0.01910296,0.13560000,0.01385785,-0.12383820,0.03037100,0.18954253,0.10435291,0.05292909,0.05803606,0.04367039,0.07028470,-0.01118669,-0.13175358,0.13818663,-0.12770267,-0.15648663,-0.05572662,-0.02320554,-0.11243569,-0.11188005,0.08419231,-0.13690154,-0.01691921,-0.08635848,-0.18691024,0.08932337,0.08645163,-0.06720601,0.05624793,-0.14102885,0.16240685,-0.00986816,0.14896142,-0.10971592,-0.07649122,0.04749652,-0.04905481,0.00945219,-0.12524606,-0.10300948,0.06555613,0.27298117,0.02860814,0.19798177,-0.02417332,-0.05932611,-0.03608570,0.01298751,-0.16500646,-0.05298355,-0.14088453,0.12276417,-0.11593463,0.04283078,-0.00911532,-0.04932893,-0.10969025,-0.27606019,-0.14637123,-0.11455648,-0.04762090,-0.01978100,-0.02579221,-0.13844547,-0.07771127,-0.08008489,-0.04662324,-0.04058217,0.04051039,0.01871265,-0.10273159,0.30992311,-0.02798839,-0.04255816
sent_hj_0_0,sentence,hj,0,0,0.22453588,0.02086299,-0.25099942,-0.15839723,-0.06946127,-0.04874013,0.01794800,-0.07731471,0.09812067,0.13416249,0.01060292,-0.00615565,0.16985135,0.21646449,0.05046218,-0.04055768,-0.19125000,0.20403349,-0.15454350,0.41814399,0.01271093,0.41475439,0.01124809,-0.03224444,0.22841644,-0.22786178,-0.02115005,0.09249034,0.21606921,0.00469761,-0.19355318,0.05414507,0.19076724,-0.48247781,0.33306146,0.15541776,-0.12324664,-0.08776577,-0.26209012,0.12614390,-0.12377758,0.11985795,-0.11612333,0.04123529,0.30789262,-0.16950090,0.35888529,-0.12897354,0.43183908,0.09082493,0.05936934,0.16193531,-0.05445786,0.32910654,0.01811619,0.26140323,0.02068331,-0.23134936,0.13713361,0.12761742,0.02485490,0.03324355,0.12966132,0.23327330,0.09906156,-0.13734986,-0.23788090,0.37074611,-0.39258018,-0.22229943,-0.01561381,0.00308581,-0.07511727,-0.20420872,0.08189153,-0.25463507,-0.08914787,0.07694340,-0.10506175,0.11332485,-0.02754052,-0.15313290,0.02570892,-0.10626737,0.04226868,-0.27574107,0.15087676,-0.10533110,0.05721362,-0.01994231,-0.10477966,0.16846855,0.00617662,-0.15475434,0.05908951,0.35783178,-0.01531249,0.11288443,-0.03453141,-0.13354990,0.01461239,0.01085437,-0.11014220,-0.09832255,-0.10433833,0.29531950,-0.26966420,0.16709360,-0.04464011,-0.18157484,-0.13989459,-0.25476566,-0.17017311,-0.06417270,-0.21284476,-0.09326224,0.06975742,-0.03974690,0.06622335,-0.28033188,-0.01778106,0.16721572,-0.04147386,0.00368663,-0.21663778,0.26695642,0.01783720,0.04165751
sent_hj_0_1,sentence,hj,0,1,0.22238512,-0.03127490,-0.24894436,-0.14194813,-0.06719717,-0.02275103,-0.00978649,-0.03517790,0.08634391,0.12414604,0.03849446,-0.01282246,0.18122302,0.22720541,0.08015456,-0.00765544,-0.16547216,0.21192965,-0.17790964,0.38230723,0.04089539,0.39109465,0.02222604,-0.00035162,0.26564169,-0.23193341,-0.02181717,0.04934467,0.16202423,-0.06071677,-0.17406583,-0.01262630,0.18843567,-0.47673613,0.31510994,0.20555630,-0.11262806,-0.08681219,-0.28906700,0.15806140,-0.15486343,0.15485483,-0.17261325,0.05309166,0.24230851,-0.24083473,0.33228099,-0.09631670,0.40527540,0.09096748,0.03308158,0.16978356,-0.04700866,0.35966474,-0.04881629,0.27575618,0.02504329,-0.27867132,0.04353932,0.13079835,-0.00065101,0.00871735,0.12491801,0.22883147,0.09636160,-0.17888241,-0.20781976,0.34473431,-0.41262242,-0.21597536,0.01676610,-0.00131559,-0.10177252,-0.13752659,0.08841561,-0.31574011,-0.06239690,0.03638453,-0.11463052,0.07829718,-0.04196134,-0.07832567,0.03980607,-0.10469192,0.05284971,-0.29133514,0.17259990,-0.11049547,0.11637985,0.03290776,-0.08388022,0.23819233,-0.06495125,-0.12063057,0.04976921,0.37190849,-0.05388965,0.10684092,-0.03439692,-0.17660230,0.06483780,-0.03113372,-0.08030625,-0.09844467,-0.01379727,0.27242351,-0.23096985,0.08622605,-0.22501306,-0.14679904,-0.12492186,-0.22895697,-0.13581580,-0.06820623,-0.24776861,-0.06979219,0.06850328,0.04721311,0.07245021,-0.35977793,0.02647205,0.20336217,-0.02139256,0.05272589,-0.17614546,0.26558727,0.02279212,0.00285681
sent_hj_0_2,sentence,hj,0,2,0.23877299,0.00952332,-0.26288712,-0.18685190,0.00671529,-0.07639541,0.04266324,-0.01051780,0.10655729,0.17417780,0.03231162,0.00996215,0.19184832,0.24167266,0.07003160,0.02666603,-0.15730900,0.22645219,-0.18470888,0.43722767,0.01364447,0.34719238,-0.01619734,0.05489594,0.34238103,-0.25405800,-0.01579529,0.05495723,0.19701724,-0.00261201,-0.14899324,-0.02314976,0.19760361,-0.45088866,0.29590666,0.20944352,-0.13262036,-0.06590190,-0.25172478,0.16000831,-0.13970332,0.15780875,-0.14209509,0.03744907,0.25433871,-0.22326539,0.34833550,-0.14633554,0.44665837,0.09236526,0.05440107,0.13286930,-0.04129268,0.31330189,-0.04111024,0.32031587,0.00021150,-0.23355463,0.05686722,0.21368039,-0.00204485,-0.01812696,0.13384891,0.22278970,0.09441277,-0.15248860,-0.31076917,0.41204685,-0.39479417,-0.23596497,-0.03681341,-0.02338447,-0.12020803,-0.17677434,0.09680562,-0.35006818,-0.10609475,-0.00059829,-0.11248703,0.07315741,0.01566217,-0.12859361,0.01613213,-0.08981249,0.11599836,-0.24962085,0.22195491,-0.12723498,0.05625740,0.03175622,-0.01848196,0.20480967,-0.03770169,-0.14020567,0.13836747,0.38871175,-0.05745633,0.14166318,-0.06829772,-0.13177644,0.03643637,-0.02803660,-0.09140417,-0.10096455,-0.07251105,0.33743459,-0.24905537,0.08809725,-0.11473232,-0.15684931,-0.05516795,-0.26489961,-0.15622364,-0.09643955,-0.18614233,-0.06747843,0.02087583,-0.00271186,0.04458535,-0.27686405,-0.03394610,0.13714780,-0.08556548,0.03999849,-0.25106809,0.32037979,0.05678521,0.02971986
sent_hj_0_3,sentence,hj,0,3,0.24197413,-0.02862624,-0.32779032,-0.17245571,-0.05152442,-0.10574712,0.00494300,-0.02236182,0.18851313,0.16724035,0.00336653,-0.05829829,0.23694932,0.26974159,0.11901937,-0.01936175,-0.16509323,0.14477596,-0.25298831,0.35606223,-0.01269975,0.40232617,0.04340533,0.05048731,0.34015089,-0.19415680,-0.08471175,0.03105778,0.23108692,-0.01789042,-0.15337530,0.01068877,0.21540907,-0.50983334,0.30984050,0.24401487,-0.11092028,-0.04238411,-0.24395253,0.11801066,-0.22858928,0.15980972,-0.19019121,0.18459226,0.25255826,-0.25813439,0.35208043,-0.15505204,0.43210346,0.10642604,0.06626347,0.19523707,-0.07053081,0.30752149,-0.09322800,0.30296841,0.03658126,-0.26345220,0.04098820,0.23770168,0.05341089,-0.00486344,0.15349290,0.19147454,0.07962280,-0.18127705,-0.31577179,0.37269729,-0.37544483,-0.26366150,-0.01473795,-0.02629924,-0.12600906,-0.20082542,0.05327057,-0.37307855,-0.09640651,-0.00342603,-0.17950632,0.05570675,0.03807467,-0.11701667,0.06518254,-0.13080223,0.05413816,-0.22207797,0.17284884,-0.11747688,0.03104376,0.08812500,-0.11349219,0.19548306,-0.04358136,-0.16028471,0.13574073,0.42370504,-0.01572325,0.12588984,-0.04885363,-0.08206011,0.00808409,0.04349688,-0.12358831,-0.19083893,-0.06081842,0.37401438,-0.22837511,0.16770399,-0.11080728,-0.18613014,-0.11652057,-0.30728412,-0.24522470,-0.04590911,-0.29245222,-0.10672975,-0.02635486,0.03988029,-0.01967232,-0.34950262,-0.03380027,0.21014428,-0.05719941,0.01475331,-0.20823437,0.37391904,0.03919029,0.06282043
sent_hj_0_4,sentence,hj,0,4,0.30132684,0.03235050,-0.29470968,-0.14495242,0.06965809,-0.12978160,0.04020275,-0.01227617,0.23649265,0.19898573,0.05295980,-0.05497777,0.16882369,0.28484944,0.11450221,-0.04507729,-0.19439751,0.19503748,-0.23205395,0.42943230,0.01629208,0.31843200,-0.03249105,0.09107517,0.34581637,-0.21605481,-0.07029001,0.06061000,0.22957630,0.04401460,-0.12721680,0.01719602,0.20856786,-0.42845446,0.29331341,0.17016725,-0.13163796,-0.04438593,-0.22669980,0.04270155,-0.17662141,0.15088771,-0.20841062,0.09689931,0.26371682,-0.19166671,0.30099583,-0.18795854,0.47927827,0.08319058,0.13552180,0.13430263,-0.05788974,0.25956330,-0.10905053,0.30862504,0.03441695,-0.27996543,0.10822538,0.25298950,-0.00226070,0.05898847,0.13836685,0.12386010,0.11004896,-0.20362470,-0.35931233,0.42756158,-0.34250852,-0.26573509,-0.10911082,-0.07084720,-0.15336035,-0.19830240,0.05130735,-0.33633402,-0.12624873,0.01497201,-0.22192986,0.07512411,0.10950821,-0.10998029,-0.01664089,-0.02355331,0.04668697,-0.18376334,0.16651502,-0.14009652,0.03344487,0.05997999,-0.06007835,0.18856084,-0.00808482,-0.17354424,0.17764454,0.36690882,0.00693222,0.18024200,-0.03465256,-0.14208907,0.02307105,-0.01163960,-0.14432058,-0.18342803,-0.12939684,0.41253829,-0.27062786,0.12269147,-0.00792157,-0.19203468,-0.07999177,-0.28693628,-0.20464557,-0.06522097,-0.22098579,-0.11236149,-0.04289690,-0.00622518,-0.01810576,-0.22026570,-0.10023852,0.09353407,-0.09531527,-0.02914571,-0.18432301,0.30086818,0.03971339,0.05402546
sent_hj_0_5,sentence,hj,0,5,0.18629858,-0.00462927,-0.26073116,-0.09796624,0.02389878,-0.07670461,0.04667501,0.00686312,0.22203019,0.17123587,0.00545887,-0.06523937,0.11494366,0.22835885,0.09714678,-0.06677915,-0.10869468,0.08682457,-0.20029727,0.28287083,-0.05655991,0.23262854,-0.04690608,0.06891881,0.30821890,-0.12445552,-0.03877247,0.01433891,0.17177254,0.03024117,-0.10591722,0.02685809,0.18984550,-0.35316864,0.19319041,0.16700396,-0.05875676,-0.02373367,-0.16874258,0.02227751,-0.13103138,0.06573537,-0.11268880,0.08499632,0.18790369,-0.11804503,0.21716119,-0.13625567,0.40224478,0.11811500,0.12405254,0.12584619,-0.02505534,0.14273696,-0.05808027,0.18844689,-0.02324575,-0.24583378,0.06377120,0.22780484,0.06136671,0.03479863,0.09572153,0.06022913,0.08363201,-0.13025466,-0.25656068,0.26653942,-0.22914514,-0.20967864,-0.08736284,-0.09338812,-0.07698172,-0.17460074,0.03890617,-0.25109079,-0.07415278,0.03245113,-0.15824546,0.05100311,0.08971065,-0.12333130,0.01059824,-0.06385645,0.01592899,-0.10810818,0.08736236,-0.10663376,-0.02900738,0.04732018,-0.06798760,0.11925930,0.00370176,-0.13222130,0.16627912,0.30381221,0.06121743,0.13173008,-0.05061392,-0.08915939,0.02979376,0.02264593,-0.10191658,-0.11752576,-0.10384955,0.32436118,-0.20903364,0.15405311,-0.00952529,-0.15405644,-0.08946864,-0.19687687,-0.18801098,-0.02371378,-0.19221404,-0.07533197,-0.01937445,-0.02656197,-0.05768152,-0.14214224,-0.10289369,0.07820980,-0.08114659,-0.01735299,-0.09084568,0.25348380,0.04210704,0.02975350
sent_hj_0_6,sentence,hj,0,6,0.27332246,0.03836687,-0.26378426,-0.15391520,0.04604525,-0.11937949,0.02204979,0.01993439,0.19147144,0.18496126,0.05425340,-0.13633497,0.10782022,0.24051994,0.08456898,-0.02247404,-0.19882646,0.20355876,-0.22708879,0.39289960,-0.00851291,0.33536097,-0.09199826,0.10698500,0.36326170,-0.25080571,-0.02521112,-0.07234889,0.21906818,0.05393142,-0.03910157,-0.00070928,0.22023022,-0.39684504,0.27362013,0.13161485,-0.20483695,-0.03234586,-0.23225699,-0.03453320,-0.21969484,0.10370097,-0.11691722,0.14899133,0.17587005,-0.21664083,0.32914829,-0.14835502,0.50776362,0.03069322,0.19428238,0.07182591,-0.08042143,0.11082950,-0.15260276,0.26504797,0.08418967,-0.25804073,0.04349466,0.27197501,0.12937084,0.04144655,0.14564480,0.03159954,0.07776985,-0.20868416,-0.32142803,0.36110267,-0.27307570,-0.29813161,-0.12806445,-0.06027763,-0.17822896,-0.20217577,0.01041831,-0.29194701,-0.18730061,-0.00947676,-0.28935793,0.08753727,0.20790848,-0.05181085,0.00198914,-0.02396185,0.08321977,-0.06874487,0.14737336,-0.10220231,0.02145915,0.13230494,-0.04895229,0.12267738,-0.05224488,-0.19463935,0.18871173,0.41538596,0.04589086,0.25470668,-0.05486915,-0.11781335,0.06697995,0.00325449,-0.15690868,-0.21258543,-0.20012064,0.37539217,-0.18972366,0.09110679,0.02342636,-0.20967503,-0.07406160,-0.34193179,-0.24576545,-0.11250278,-0.15814947,-0.07633407,-0.01842545,-0.05568217,-0.05127537,-0.14280318,-0.10229013,0.01985048,-0.02432118,-0.03326480,-0.19067959,0.39704186,-0.02619440,0.07503073
sent_hj_0_7,sentence,hj,0,7,0.23590024,-0.00954289,-0.28982687,-0.13000184,-0.00122435,-0.08078189,0.03056942,0.00072684,0.21049288,0.20874368,0.03344072,-0.12996668,0.14153816,0.24757880,0.09212171,-0.05454817,-0.17216946,0.18801945,-0.23941125,0.36632496,-0.03966574,0.33121610,-0.09591763,0.08719563,0.39477047,-0.24347825,0.00699393,-0.07688551,0.27283248,0.02000043,-0.06475341,0.05450833,0.24744776,-0.45724377,0.27584878,0.17632215,-0.18648638,-0.06119268,-0.22472656,-0.04094778,-0.26502585,0.02838141,-0.08400080,0.18051849,0.17482971,-0.24815081,0.34018666,-0.13420139,0.52240169,0.05858359,0.18044637,0.10295405,-0.07003392,0.11194211,-0.14987873,0.26609465,0.04282105,-0.27976912,0.00595368,0.26972148,0.21896443,0.02548793,0.13565288,0.04410888,0.05423722,-0.18335050,-0.30181175,0.32823741,-0.27353132,-0.30823448,-0.15764080,-0.06059678,-0.15332258,-0.20277663,0.03048338,-0.30273944,-0.16894208,0.00060341,-0.30260596,0.11546315,0.20402659,-0.07816755,0.01171961,-0.08152046,0.06268059,-0.01223082,0.13801016,-0.10037249,-0.00933794,0.11402122,-0.08867434,0.11655743,-0.02768460,-0.17484412,0.19590834,0.48354384,0.08660886,0.26644179,-0.05925057,-0.07825699,0.08616158,0.01926419,-0.16030830,-0.21670701,-0.17740434,0.37118325,-0.15434623,0.14800702,0.00606692,-0.21453641,-0.10292272,-0.32507750,-0.28999057,-0.12254770,-0.14241798,-0.07747281,-0.02827037,-0.09289654,-0.08733367,-0.13119866,-0.12782815,0.04447402,0.00726394,-0.01645483,-0.20804898,0.44335803,-0.07006924,0.09912676
