version,hj,gd,gd1,gd2,gd3,ba,bb,wb,hs,yz,xr,fy
hj,0.99999982,0.93935037,0.92813188,0.60993421,0.55327994,0.99864906,0.99922615,0.99854255,0.99905747,0.93690300,0.87785476,0.99950337
gd,0.93935037,0.99999982,0.96782243,0.67747331,0.63802201,0.94087785,0.93507922,0.93757057,0.93840289,0.88841909,0.83279788,0.94161093
gd1,0.92813188,0.96782243,1.00000012,0.50994968,0.59358197,0.93652844,0.92470396,0.93155712,0.93028182,0.86256772,0.84800196,0.93215525
gd2,0.60993421,0.67747331,0.50994968,1.00000012,0.29499745,0.58829051,0.60457039,0.60649943,0.60581487,0.66044068,0.41935965,0.60739636
gd3,0.55327994,0.63802201,0.59358197,0.29499745,0.99999970,0.55099696,0.54438639,0.53932709,0.55048478,0.51251888,0.48491883,0.55201519
ba,0.99864906,0.94087785,0.93652844,0.58829051,0.55099696,0.99999994,0.99816656,0.99821466,0.99816716,0.93232787,0.88341564,0.99856371
bb,0.99922615,0.93507922,0.92470396,0.60457039,0.54438639,0.99816656,0.99999988,0.99845409,0.99927169,0.93396670,0.87860417,0.99907684
wb,0.99854255,0.93757057,0.93155712,0.60649943,0.53932709,0.99821466,0.99845409,1.00000000,0.99898052,0.93439817,0.87955004,0.99878693
hs,0.99905747,0.93840289,0.93028182,0.60581487,0.55048478,0.99816716,0.99927169,0.99898052,0.99999994,0.93739909,0.87670475,0.99943560
yz,0.93690300,0.88841909,0.86256772,0.66044068,0.51251888,0.93232787,0.93396670,0.93439817,0.93739909,1.00000012,0.66948843,0.93652463
xr,0.87785476,0.83279788,0.84800196,0.41935965,0.48491883,0.88341564,0.87860417,0.87955004,0.87670475,0.66948843,1.00000012,0.87877792
fy,0.99950337,0.94161093,0.93215525,0.60739636,0.55201519,0.99856371,0.99907684,0.99878693,0.99943560,0.93652463,0.87877792,1.00000000
