version,hj,gd,gd1,gd2,gd3,ba,bb,wb,hs,yz,xr,fy
hj,1.00000012,0.76179713,0.81059104,0.31001058,-0.05728072,0.99122131,0.99724531,0.99713671,0.99686277,0.84855014,0.74309152,0.99816686
gd,0.76179713,1.00000000,0.97220021,0.63107622,0.34455052,0.76881212,0.75159705,0.74755281,0.74530005,0.65228063,0.57988131,0.74954212
gd1,0.81059104,0.97220021,1.00000036,0.51221961,0.22742006,0.81161243,0.80251646,0.79894918,0.79522926,0.65060651,0.65289652,0.79774237
gd2,0.31001058,0.63107622,0.51221961,1.00000024,0.22164167,0.34034255,0.31570709,0.30137035,0.29382905,0.42003971,0.12484394,0.29157874
gd3,-0.05728072,0.34455052,0.22742006,0.22164167,0.99999970,-0.01630805,-0.06165413,-0.05830912,-0.06634503,0.04031951,-0.03595519,-0.06138615
ba,0.99122131,0.76881212,0.81161243,0.34034255,-0.01630805,0.99999976,0.99397910,0.99484354,0.99333912,0.85470146,0.74239641,0.99117440
bb,0.99724531,0.75159705,0.80251646,0.31570709,-0.06165413,0.99397910,1.00000024,0.99837494,0.99822336,0.85391724,0.73789167,0.99628079
wb,0.99713671,0.74755281,0.79894918,0.30137035,-0.05830912,0.99484354,0.99837494,0.99999988,0.99839509,0.85480952,0.73614359,0.99659729
hs,0.99686277,0.74530005,0.79522926,0.29382905,-0.06634503,0.99333912,0.99822336,0.99839509,1.00000012,0.84386075,0.74650979,0.99776489
yz,0.84855014,0.65228063,0.65060651,0.42003971,0.04031951,0.85470146,0.85391724,0.85480952,0.84386075,1.00000012,0.31553042,0.84758461
xr,0.74309152,0.57988131,0.65289652,0.12484394,-0.03595519,0.74239641,0.73789167,0.73614359,0.74650979,0.31553042,0.99999994,0.74046946
fy,0.99816686,0.74954212,0.79774237,0.29157874,-0.06138615,0.99117440,0.99628079,0.99659729,0.99776489,0.84758461,0.74046946,0.99999976
